pmid,coder_id,eligible,field1,field2_simplified_workflow,field2R,field2S,field2S_verification_statistic_recomputed,field3,field1_evidence_source,field1_confidence,field3_evidence_source,field3_confidence,ambiguities_flagged
30409304,C1,True,No,,,,,Not reproducible,Methods,High,Abstract,Low,Full text needed for complete Field 3 assessment
29329273,C1,True,No,,,,,Not reproducible,Abstract,Medium,Abstract,Low,Full text needed for Field 3; software references in bibliography suggest Partial for C
29534679,C1,False,,,,,,,,,,,
31835892,C1,True,Yes,"[PBMC DEGs (CRC vs healthy)] + [Tumor DEGs (CRC vs normal)] -> [Direction gate: up∩up, down∩down] -> [18 common upregulated + 36 common downregulated] -> [Pathway analysis]",none,none,,Not reproducible,Results,High,Abstract,Low,Full text needed for data availability and parameter specification
31647035,C1,False,,,,,,,,,,,
28894971,C1,False,,,,,,,,,,,
31276465,C1,False,,,,,,,,,,,
30174439,C1,False,,,,,,,,,,,
30466110,C1,False,,,,,,,,,,,
30774662,C1,False,,,,,,,,,,,
30613154,C1,False,,,,,,,,,,,
30700932,C1,False,,,,,,,,,,,
30720100,C1,False,,,,,,,,,,,
30770755,C1,False,,,,,,,,,,,
31807180,C1,False,,,,,,,,,,,
31781649,C1,False,,,,,,,,,,,
30930938,C1,False,,,,,,,,,,,
29307852,C1,False,,,,,,,,,,,
30505479,C1,False,,,,,,,,,,,
31344497,C1,False,,,,,,,,,,,
29718177,C1,False,,,,,,,,,,,
28865156,C1,True,No,,,,,Not reproducible,Abstract,Medium,Abstract,Low,Full text needed; may describe data sources and code availability
30296239,C1,False,,,,,,,,,,,Corrected 2026-08-03; see calibration_screening_log section 6 (ruling 5)
31073594,C1,False,,,,,,,,,,,
31850052,C1,False,,,,,,,,,,,
31437626,C1,False,,,,,,,,,,,
30112021,C1,False,,,,,,,,,,,
30849987,C1,False,,,,,,,,,,,
29230965,C1,False,,,,,,,,,,,
31304055,C1,False,,,,,,,,,,,
30010017,C1,False,,,,,,,,,,,
30683112,C1,False,,,,,,,,,,,
30272358,C1,False,,,,,,,,,,,
31452737,C1,False,,,,,,,,,,,Corrected 2026-08-03; see calibration_screening_log section 6 (ruling 5)
29482503,C1,False,,,,,,,,,,,Corrected 2026-08-03; see calibration_screening_log section 6 (ruling 5)
28701059,C1,False,,,,,,,,,,,
29423105,C1,False,,,,,,,,,,,
29614062,C1,False,,,,,,,,,,,
31649562,C1,True,No,,,,,Not reproducible,Abstract,Medium,Abstract,Low,
28952191,C1,False,,,,,,,,,,,
30259866,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
32038997,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
29642064,C1,True,No,,none,none,,Not reproducible,Methods,Medium,Abstract,Low,
31543683,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
29749503,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
29319171,C1,True,Yes,"[T2D DEGs (GSE55650)] + [CRC DEGs (GSE8671)] -> [Overlap: 583 genes / 169 common DEGs] -> [Direction gate: up x up, down x down] -> [89 up-regulated + 80 down-regulated] -> [PPI network + enrichment]",none,none,,Not reproducible,Results,High,Abstract,Low,
29917210,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
29875655,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
31007884,C1,True,Yes,[ASD differential expression meta-analysis] x [Per-cancer-type differential expression meta-analyses] -> [Direction-aware overlap: same direction (brain/thyroid/kidney/pancreas) vs opposite direction (lung/prostate)] -> [Shared pathways + LINCS L1000 drug-set enrichment],none,none,,Not reproducible,Results,High,Abstract,Low,
29503661,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
30920297,C1,True,Yes,"[5 public liver fibrosis transcriptomic datasets (different etiologies, GEO)] -> [Per-dataset DEG analysis] -> [Etiology-independent intersection] -> [Direction gate: up x up, down x down] -> [111 up + 16 down] -> [KEGG enrichment + experimental verification]",none,none,,Not reproducible,Results,High,Abstract,Low,
29087237,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
30229909,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
30733664,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
30997486,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,Concordant/discordant pathways are direction-aware but applied at pathway level; Field 1 coded No at gene-set level.
31872188,C1,True,Yes,[6 muscle + 2 skin DM datasets] -> [Per-dataset processing + cross-study normalization] -> [SAM single-gene meta-analysis] -> [Direction gate: up x up] -> [94 shared upregulated genes] -> [Pathway + xCell cell-type enrichment],none,none,,Not reproducible,Results,High,Abstract,Low,
31829519,C1,True,No,,none,none,,Not reproducible,Methods,Medium,Abstract,Low,
31180245,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
30260019,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
31368816,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
31618209,C1,True,Yes,"[Colon DEGs (IBD vs non-IBD): 1118] + [Blood DEGs (IBD vs non-IBD): 880] -> [Overlap: 112 genes] -> [Direction-concordance gate: 106 concordant] -> [Shared pathway overlap (5 immune/metabolic, p<0.001) + 6-gene classifier]",none,none,,Not reproducible,Results,High,Abstract,Low,
30809433,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
30214614,C1,True,Yes,"[18 microarray datasets (MDS + AML)] -> [Meta-analysis via NetworkAnalyst] -> [Direction gate: up x up, down x down] -> [191 up-regulated + 139 down-regulated] -> [Functional enrichment + network-based meta-analysis]",none,none,,Not reproducible,Results,High,Abstract,Low,
29435068,C1,True,No,,none,none,,Not reproducible,Abstract,Medium,Abstract,Low,
31645679,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
30621695,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
31867044,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
31870308,C1,True,No,,none,none,,Not reproducible,Results,Medium,Abstract,Low,
