"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"UQCRFS1",772.330337002699,0.966256249909435,0.0558581689855426,17.2983874598454,4.8374022060615e-67,6.62046865921578e-63,TRUE
"FNBP1",490.447065767282,-1.08073966550824,0.0664775290426094,-16.257217755725,1.98551652473171e-59,1.35868895787391e-55,TRUE
"VCAM1",563.704861274641,-2.56798986617524,0.160856639010444,-15.964463027283,2.25978117863789e-57,1.0309121736946e-53,TRUE
"SKI",1030.66063429232,-1.10426410704685,0.0696948737482286,-15.8442658356192,1.54009138600978e-56,5.26942267723246e-53,TRUE
"CR1",66.8222887040491,-3.34242258791586,0.211345169983107,-15.8149939654785,2.45233182327869e-56,6.71252266667843e-53,TRUE
"CDC42BPB",1338.65900440053,-0.929200734732053,0.059051391674278,-15.7354586976957,8.64281423746173e-56,1.97142592756502e-52,TRUE
"CDH5",456.469443654832,-1.35411163181672,0.0892906601861481,-15.1652102134058,6.01061587244978e-52,1.17516126900497e-48,TRUE
"DYNLT1",357.509512990743,1.33035125110005,0.0885876099309654,15.0173512090095,5.65215775141753e-51,9.66942887323755e-48,TRUE
"MARCO",1486.01940044689,-2.87452997974965,0.191804756114683,-14.9867502661453,8.96328080124878e-51,1.36301623384323e-47,TRUE
"COX6A1",667.90423790229,1.44783417035471,0.097496053500292,14.8501823240504,6.93797082761639e-50,9.49530687467579e-47,TRUE
"CD163",1782.58134863343,-2.77048135504107,0.187279393378062,-14.7933059001761,1.61807189783991e-49,2.01317563580336e-46,TRUE
"PET100",66.595581967431,2.93418706760683,0.20144260162193,14.5658715881447,4.63040940017972e-48,5.28098192090497e-45,TRUE
"NEDD8",385.636459957097,1.12364524120517,0.0793167783204632,14.1665517056846,1.47570871843781e-45,1.55358073234922e-42,TRUE
"P2RY13",100.158253188738,-2.31605490782909,0.164241493446291,-14.1015212369977,3.7167046106645e-45,3.63334423582531e-42,TRUE
"TXNDC5",33.5599945636071,-4.44198133657115,0.315132734083,-14.0955884811421,4.04263770739769e-45,3.68850264422965e-42,TRUE
"ETV5",123.429173918314,-1.84946744247896,0.131982892482729,-14.0129330982875,1.29926104007004e-44,1.11135541214991e-41,TRUE
"TIMD4",185.263291298994,-4.28597499216552,0.306238796842794,-13.9955323634768,1.65982103512919e-44,1.33625356981048e-41,TRUE
"F11R",1165.20702879014,0.867121216171034,0.0622872457428671,13.9213286095626,4.70083697429586e-44,3.57420304612295e-41,TRUE
"FOLR2",292.297972330141,-2.20249512241287,0.158968424062262,-13.854922041312,1.18785768976995e-43,8.22798306572775e-41,TRUE
"RPL21",1750.66791016204,1.4063265147368,0.10151014722813,13.8540486162066,1.20239413498871e-43,8.22798306572775e-41,TRUE
"PFDN6",191.000975987523,1.36454293996352,0.0988478444216349,13.8044784683727,2.39499518759111e-43,1.56085257797009e-40,TRUE
"GFRA2",53.6921927701968,-2.73454849027524,0.199948668475719,-13.6762525658295,1.40762330592263e-42,8.75669662038957e-40,TRUE
"CRHBP",1278.29011981504,-1.41952449324872,0.103987923745259,-13.6508590817348,1.99512570410738e-42,1.18718653853972e-39,TRUE
"SIGLEC1",358.340810836712,-2.3308507376193,0.172202575440342,-13.5355161306911,9.65022637271469e-42,5.28291992547893e-39,TRUE
"PRAP1",176.490938856671,2.18239597401091,0.161216887961896,13.5370183707226,9.45493522790029e-42,5.28291992547893e-39,TRUE
"CETP",497.843188393985,-2.45363995936148,0.181369138111544,-13.5284314901054,1.06266874852252e-41,5.59372480472278e-39,TRUE
"NCOA3",346.712446349267,-1.10694651192378,0.0825654868439123,-13.4068913566323,5.51004379788717e-41,2.79297997844014e-38,TRUE
