"Gene","Module","MAD","kME","HubRule"
"FOLR2","turquoise",1.05751807559316,0.981660476004285,"topology_only_abs_kME"
"CSF1R","turquoise",1.08652963480128,0.981528428889629,"topology_only_abs_kME"
"C1QC","turquoise",1.16004621909998,0.979468622980196,"topology_only_abs_kME"
"MARCO","turquoise",1.53644028092893,0.974320942434705,"topology_only_abs_kME"
"C1QB","turquoise",1.13086634751464,0.973905811140949,"topology_only_abs_kME"
"CD163","turquoise",1.23129179480473,0.973774688784693,"topology_only_abs_kME"
"MPEG1","turquoise",1.03506588544119,0.972849087845935,"topology_only_abs_kME"
"SIGLEC1","turquoise",1.02212380551532,0.971811644042997,"topology_only_abs_kME"
"SDC3","turquoise",0.889130171001676,0.970872584401892,"topology_only_abs_kME"
"AXL","turquoise",0.826435574371174,0.968912960604706,"topology_only_abs_kME"
"CD5L","turquoise",1.47367750060736,0.966629065416322,"topology_only_abs_kME"
"ACVRL1","turquoise",0.78748007764662,0.965750953388628,"topology_only_abs_kME"
"EPB41L3","turquoise",0.751706868159609,0.963677671087361,"topology_only_abs_kME"
"VSIG4","turquoise",1.16846535626995,0.960363167606099,"topology_only_abs_kME"
"LILRB5","turquoise",1.03727275476901,0.95980331148975,"topology_only_abs_kME"
"PLXND1","turquoise",0.534451086985915,0.957476543573151,"topology_only_abs_kME"
"FLT4","turquoise",0.864594208075348,0.954740426629112,"topology_only_abs_kME"
"VAV1","turquoise",0.734296915609203,0.95468100569389,"topology_only_abs_kME"
"CFP","turquoise",1.25692492637072,0.954143523626283,"topology_only_abs_kME"
"IL10RA","turquoise",0.731612316365828,0.953731648886472,"topology_only_abs_kME"
"GNE","black",0.463639685758457,0.954248041284181,"topology_only_abs_kME"
"ARHGAP35","black",0.404256893056218,0.922713675122268,"topology_only_abs_kME"
"MCCC2","black",0.438327352681635,0.915158272691594,"topology_only_abs_kME"
"ABCC2","black",0.460644719677333,0.91381528381292,"topology_only_abs_kME"
"JAK1","black",0.499788742438432,0.91215301233056,"topology_only_abs_kME"
"NR5A2","black",0.423534363475126,0.909174466482697,"topology_only_abs_kME"
"AOX1","black",0.731615501396578,0.907619800033607,"topology_only_abs_kME"
"CPS1","black",0.896020886683608,0.899752243797567,"topology_only_abs_kME"
"MAOA","black",0.421043098763597,0.898907138779901,"topology_only_abs_kME"
"ADAMTSL3","black",0.486974770443295,0.898180080412047,"topology_only_abs_kME"
"MET","black",0.651022068229169,0.895821270854999,"topology_only_abs_kME"
"PLG","black",0.592356976802121,0.891120350771784,"topology_only_abs_kME"
"C5","black",0.813470936175761,0.890847400097916,"topology_only_abs_kME"
"PTPRK","black",0.521281023204213,0.889886216713193,"topology_only_abs_kME"
"ABCA6","black",0.600738006684892,0.888387912902615,"topology_only_abs_kME"
"ITIH2","black",0.487157658775177,0.887276661874575,"topology_only_abs_kME"
"PARP4","black",0.501241447069605,0.886690735609644,"topology_only_abs_kME"
"MTHFD1","black",0.483573049562629,0.885943768491386,"topology_only_abs_kME"
"TRANK1","black",0.458037865702849,0.885846639105515,"topology_only_abs_kME"
"IGF2R","black",0.458838955307945,0.88523345896197,"topology_only_abs_kME"
"S100A16","red",0.392821288928694,0.950865861504007,"topology_only_abs_kME"
"KRT18","red",0.924022831176419,0.941817513166965,"topology_only_abs_kME"
"YKT6","red",0.416132563085526,0.941563719423584,"topology_only_abs_kME"
"PTPA","red",0.759371909826618,0.937494961818062,"topology_only_abs_kME"
"PEF1","red",0.389001589714707,0.928611072531468,"topology_only_abs_kME"
"BCAP31","red",0.477975145830946,0.926223460601632,"topology_only_abs_kME"
"SRA1","red",0.515653989645977,0.925203972882903,"topology_only_abs_kME"
"MEA1","red",0.546970026272889,0.920373711510574,"topology_only_abs_kME"
"PPIB","red",0.641812548015061,0.919665987970652,"topology_only_abs_kME"
"MYL6B","red",0.494615043852256,0.914170363345749,"topology_only_abs_kME"
"TBL2","red",0.417555255574506,0.912190779164535,"topology_only_abs_kME"
"BRMS1","red",0.431337637343058,0.911496262233868,"topology_only_abs_kME"
"DESI1","red",0.458307127717554,0.906909698245315,"topology_only_abs_kME"
"RAB32","red",0.485438986013298,0.902381616142079,"topology_only_abs_kME"
"ADCK2","red",0.475988621825853,0.901910517362845,"topology_only_abs_kME"
"TMED9","red",0.477366957217646,0.901692219794038,"topology_only_abs_kME"
"CREB3","red",0.492393292694143,0.899706187984208,"topology_only_abs_kME"
"MPDU1","red",0.450644849901934,0.897300459763832,"topology_only_abs_kME"
"STX5","red",0.418308532862396,0.894349193089273,"topology_only_abs_kME"
"TMEM208","red",0.425221055824725,0.893672632677213,"topology_only_abs_kME"
"DYNLT1","blue",0.851845027440397,0.947649252766792,"topology_only_abs_kME"
"PET100","blue",0.829263459190489,0.943052987568504,"topology_only_abs_kME"
"UQCRFS1","blue",0.508357578244859,0.94233013989632,"topology_only_abs_kME"
"NEDD8","blue",0.624175787176201,0.940348209478387,"topology_only_abs_kME"
"COX6A1","blue",0.893504720636733,0.939722793063993,"topology_only_abs_kME"
"CYCS","blue",0.790631132104045,0.933920336776526,"topology_only_abs_kME"
"TAF11","blue",0.468724319216549,0.932476253518868,"topology_only_abs_kME"
"EIF2S2","blue",0.403012300087633,0.931922197780062,"topology_only_abs_kME"
"RPS27A","blue",0.566258241102586,0.92396648887945,"topology_only_abs_kME"
"MYL6","blue",0.827799938540186,0.922520702741544,"topology_only_abs_kME"
"PARL","blue",0.460822082599124,0.921199645439358,"topology_only_abs_kME"
"UCHL3","blue",0.453729669668764,0.919201051275953,"topology_only_abs_kME"
"CFDP1","blue",0.648087860286982,0.916989441764333,"topology_only_abs_kME"
"MED18","blue",0.557941392330799,0.914303516661185,"topology_only_abs_kME"
"RPL21","blue",0.776262694560299,0.914078602305527,"topology_only_abs_kME"
"PFDN6","blue",0.681213626028363,0.912832782445333,"topology_only_abs_kME"
"PRAP1","blue",1.05788664485043,0.912051299591156,"topology_only_abs_kME"
"RPS27L","blue",0.766520589884817,0.910423434986383,"topology_only_abs_kME"
"OCIAD2","blue",0.475287957146524,0.910068424932291,"topology_only_abs_kME"
"GGCT","blue",0.582248905704921,0.906796873015978,"topology_only_abs_kME"
"TNRC6A","green",0.614021406423439,0.95674918165214,"topology_only_abs_kME"
"PHIP","green",0.852464791863547,0.951821426154901,"topology_only_abs_kME"
"NFIB","green",0.716277158987197,0.947752942431501,"topology_only_abs_kME"
"BDP1","green",0.664496755751073,0.943532884530928,"topology_only_abs_kME"
"CHD9","green",0.622077224419818,0.941563527880913,"topology_only_abs_kME"
"ZNF292","green",0.633439886404807,0.938596310710042,"topology_only_abs_kME"
"RB1CC1","green",0.571182496709051,0.936222390414144,"topology_only_abs_kME"
"KMT2E","green",0.629575861277416,0.932522397895435,"topology_only_abs_kME"
"ITSN2","green",0.439022206394557,0.930944165046066,"topology_only_abs_kME"
"HYCC2","green",0.577201123933229,0.929398694941744,"topology_only_abs_kME"
"PRRC2C","green",0.693761533970777,0.926331502885316,"topology_only_abs_kME"
"ROCK1","green",0.425229551575537,0.921922594047864,"topology_only_abs_kME"
"RDX","green",0.398468892769545,0.920506872876485,"topology_only_abs_kME"
"GCC2","green",0.700477172720315,0.919374738357023,"topology_only_abs_kME"
"SETD5","green",0.552267403341617,0.917228568820505,"topology_only_abs_kME"
"TRIM33","green",0.46141522888078,0.914722647419613,"topology_only_abs_kME"
"HOOK3","green",0.469591212635739,0.914524389872212,"topology_only_abs_kME"
"GOLGA4","green",0.557176524681374,0.914098511756907,"topology_only_abs_kME"
"BAZ2B","green",0.641321791050213,0.911155916259096,"topology_only_abs_kME"
"RAB3GAP2","green",0.377148489107445,0.909718058345096,"topology_only_abs_kME"
"RABAC1","yellow",0.596557222508681,0.965630892268776,"topology_only_abs_kME"
"SLC33A2","yellow",0.602652943929166,0.952291222078536,"topology_only_abs_kME"
"BAD","yellow",0.402860748512127,0.945366286877875,"topology_only_abs_kME"
"MBD3","yellow",0.687099682669978,0.939360699399942,"topology_only_abs_kME"
"OGFR","yellow",0.501155895016802,0.938831856081807,"topology_only_abs_kME"
"METRN","yellow",0.943887683496023,0.937402082141263,"topology_only_abs_kME"
"CLTB","yellow",0.449568519309845,0.932812300523706,"topology_only_abs_kME"
"TP53I13","yellow",0.541676885899943,0.924330411681441,"topology_only_abs_kME"
"TSR3","yellow",0.403429880660268,0.923615259751355,"topology_only_abs_kME"
"RARRES2","yellow",0.638276834593507,0.92086959706615,"topology_only_abs_kME"
