"Gene","Module","MAD","kME","HubRule"
"ODR4","turquoise",0.3065712867,0.9777659692776,"topology_only_abs_kME"
"STRN3","turquoise",0.3193409205,0.968700766089221,"topology_only_abs_kME"
"BROX","turquoise",0.3324419154,0.968271668125163,"topology_only_abs_kME"
"LZIC","turquoise",0.2609516847,0.963840303105236,"topology_only_abs_kME"
"CAPZA2","turquoise",0.260045074799999,0.961993252449651,"topology_only_abs_kME"
"PRPF40A","turquoise",0.2999492538,0.9606810972948,"topology_only_abs_kME"
"SLU7","turquoise",0.417415651800001,0.958774875763831,"topology_only_abs_kME"
"ATAD1","turquoise",0.286164780300001,0.957794024887354,"topology_only_abs_kME"
"UTP15","turquoise",0.2696938356,0.954247880787581,"topology_only_abs_kME"
"DNAJC24","turquoise",0.264835355400001,0.952194454733333,"topology_only_abs_kME"
"STXBP3","turquoise",0.330729512400001,0.951157533077856,"topology_only_abs_kME"
"RO60","turquoise",0.3438423681,0.950851090146273,"topology_only_abs_kME"
"MARCHF7","turquoise",0.314143666199999,0.950246928012075,"topology_only_abs_kME"
"FASTKD2","turquoise",0.2997342768,0.950188136355473,"topology_only_abs_kME"
"DYNC1I2","turquoise",0.2669955036,0.950022161643803,"topology_only_abs_kME"
"SLC71A1","turquoise",0.413351845199997,0.946290177780476,"topology_only_abs_kME"
"HNRNPU","turquoise",0.321676756799999,0.944972719386236,"topology_only_abs_kME"
"ZNHIT6","turquoise",0.3072503175,0.944728414024937,"topology_only_abs_kME"
"PKN2","turquoise",0.3487060374,0.94404917862579,"topology_only_abs_kME"
"NBEAL1","turquoise",0.532898330999999,0.943775069298551,"topology_only_abs_kME"
"SLC2A14","purple",0.4686854424,0.935404634644143,"topology_only_abs_kME"
"SLC2A3","purple",0.802353468,0.923372098545637,"topology_only_abs_kME"
"NR4A3","purple",0.3134386899,0.921915457687887,"topology_only_abs_kME"
"EGR1","purple",0.873407073000001,0.912385502922385,"topology_only_abs_kME"
"PPP1R15B","purple",0.286166262900001,0.910037528761389,"topology_only_abs_kME"
"SOCS3","purple",0.9854604984,0.895674142667996,"topology_only_abs_kME"
"HBEGF","purple",0.3440084193,0.88896204484504,"topology_only_abs_kME"
"ZFP36","purple",0.820445635799999,0.878611757498004,"topology_only_abs_kME"
"KLF4","purple",0.448182567,0.873435286421653,"topology_only_abs_kME"
"MYC","purple",0.582546898499999,0.868246316129719,"topology_only_abs_kME"
"EGR3","purple",0.4238634792,0.864929352085673,"topology_only_abs_kME"
"SLC25A25","purple",0.452338294800001,0.864089289147964,"topology_only_abs_kME"
"BHLHE40","purple",0.4440283218,0.862544774143025,"topology_only_abs_kME"
"ANK2","purple",0.503802306000001,0.855951772357294,"topology_only_abs_kME"
"PELI1","purple",0.3959216583,0.85330346432059,"topology_only_abs_kME"
"CDKN1A","purple",0.350829120600001,0.850345737190531,"topology_only_abs_kME"
"TRIB1","purple",0.535722684,0.843250025129354,"topology_only_abs_kME"
"PPP1R15A","purple",0.3049834221,0.843054914060103,"topology_only_abs_kME"
"JUNB","purple",0.760673875499999,0.842085446046935,"topology_only_abs_kME"
"NR4A1","purple",0.588443940000001,0.840689551046552,"topology_only_abs_kME"
"NCKAP1L","magenta",0.325592303400001,0.915097446013154,"topology_only_abs_kME"
"FCER1G","magenta",0.357423725399999,0.912895000145124,"topology_only_abs_kME"
"DOCK2","magenta",0.3641814162,0.905215658776505,"topology_only_abs_kME"
"CD4","magenta",0.274392936300001,0.893654807687226,"topology_only_abs_kME"
"VSIG4","magenta",0.3163705314,0.878753156623981,"topology_only_abs_kME"
"OTULINL","magenta",0.3744788145,0.877978406385695,"topology_only_abs_kME"
"C1QA","magenta",0.4662361872,0.86687729801967,"topology_only_abs_kME"
"PLEK","magenta",0.293651910300001,0.863436057186447,"topology_only_abs_kME"
"SLCO2B1","magenta",0.4036385913,0.857640495600013,"topology_only_abs_kME"
"IL10RA","magenta",0.299796545999999,0.85233767728594,"topology_only_abs_kME"
"VAMP8","magenta",0.4621145592,0.847416326755968,"topology_only_abs_kME"
"CD53","magenta",0.374256424500003,0.845228392820185,"topology_only_abs_kME"
"SLC7A7","magenta",0.3821527521,0.840804437593951,"topology_only_abs_kME"
"CD68","magenta",0.3646395396,0.837745174693931,"topology_only_abs_kME"
"NPL","magenta",0.3017098413,0.835351785348514,"topology_only_abs_kME"
"LAPTM5","magenta",0.4676350203,0.824613313643769,"topology_only_abs_kME"
"PARVG","magenta",0.2721482799,0.823930148602992,"topology_only_abs_kME"
"ADA2","magenta",0.4308190971,0.81688504361819,"topology_only_abs_kME"
"TGFBI","magenta",0.3513406176,0.815813447832401,"topology_only_abs_kME"
"IFI30","magenta",0.511956606000001,0.811027152494043,"topology_only_abs_kME"
"OLFML2B","salmon",0.2715945288,0.907817309231439,"topology_only_abs_kME"
"PCOLCE","salmon",0.392851935000001,0.898522738556269,"topology_only_abs_kME"
"ITGA5","salmon",0.2938616982,0.891896780005292,"topology_only_abs_kME"
"SNORA33","salmon",0.4289376777,0.862741030869956,"topology_only_abs_kME"
"THBS3","salmon",0.3985139844,0.856518732204352,"topology_only_abs_kME"
"STING1","salmon",0.2992731882,0.830771303240911,"topology_only_abs_kME"
"COL1A2","salmon",0.597146802,0.829854061136853,"topology_only_abs_kME"
"SEC24D","salmon",0.2721401256,0.821744285828973,"topology_only_abs_kME"
"ATP1A1","salmon",0.410736538799999,0.816370713394815,"topology_only_abs_kME"
"COL5A1","salmon",0.370433540399999,0.807597392934703,"topology_only_abs_kME"
"DPYSL3","salmon",0.3406614498,0.806243520207928,"topology_only_abs_kME"
"PROCR","salmon",0.3116781024,0.804564657723118,"topology_only_abs_kME"
"COL1A1","salmon",0.835489577999999,0.803827146197109,"topology_only_abs_kME"
"SLC7A2","salmon",0.317876111700001,0.802930306368587,"topology_only_abs_kME"
"SCARNA6","green",0.474702574499999,0.942178637518023,"topology_only_abs_kME"
"PHOX2A","green",0.300422203200001,0.939128194704477,"topology_only_abs_kME"
"RPS27A","green",0.388183968900001,0.930727905273561,"topology_only_abs_kME"
"C1QL1","green",0.2730541485,0.920903322403786,"topology_only_abs_kME"
"ATP5ME","green",0.3464598984,0.92035615648672,"topology_only_abs_kME"
"SELENOM","green",0.288189270599999,0.918738903295598,"topology_only_abs_kME"
"CHST14","green",0.287395338299999,0.911036187107826,"topology_only_abs_kME"
"BAG1","green",0.2682638679,0.909285591864338,"topology_only_abs_kME"
"FOXB2","green",0.296617851599998,0.908065066062426,"topology_only_abs_kME"
"POU5F1P3","green",0.378068189100001,0.907634876086738,"topology_only_abs_kME"
"PCSK1N","green",0.3317221131,0.903794702716411,"topology_only_abs_kME"
"RPL36","green",0.3743520522,0.895904533638636,"topology_only_abs_kME"
"ZNRF2P1","green",0.299448135,0.894736085782894,"topology_only_abs_kME"
"KLF2","green",0.413248804500002,0.89125389236474,"topology_only_abs_kME"
"RPL35","green",0.4236966867,0.890886177666533,"topology_only_abs_kME"
