"Iteration","Converged","SignificantOSAGenes","CommonGenes","EligiblePoolGenes","SameSignSelectedGenes","SelectedPearson","Error"
1,TRUE,0,12958,110,57,0.822866686779556,
2,TRUE,0,12958,110,48,0.670302268457711,
3,TRUE,0,12958,110,66,0.643196305263732,
4,TRUE,0,12958,110,53,0.73605933343937,
5,TRUE,0,12958,110,63,0.686881167162382,
6,TRUE,0,12958,110,55,0.517355808260282,
7,TRUE,3,12958,110,45,0.532148169181341,
8,TRUE,0,12958,110,46,0.6201739134411,
9,TRUE,0,12958,110,55,0.520000702944438,
10,TRUE,0,12958,110,58,0.728371541988126,
11,TRUE,0,12958,110,70,0.630572868600805,
12,TRUE,0,12958,110,50,0.291543668132093,
13,TRUE,0,12958,110,48,0.78909415446634,
14,TRUE,0,12958,110,47,0.729061488318638,
15,TRUE,0,12958,110,53,0.655349138375484,
16,TRUE,0,12958,110,52,0.729921880068821,
17,TRUE,0,12958,110,62,0.640396891991487,
18,TRUE,0,12958,110,67,0.631123593226672,
19,TRUE,0,12958,110,57,0.750808930433438,
20,TRUE,0,12958,110,53,0.579915350651582,
21,TRUE,0,12958,110,61,0.67395105785165,
22,TRUE,0,12958,110,56,0.638810391617265,
23,TRUE,0,12958,110,61,0.709597889832525,
24,TRUE,0,12958,110,55,0.651219295318136,
25,TRUE,0,12958,110,69,0.689370921570653,
26,TRUE,0,12958,110,42,0.635653272557075,
27,TRUE,0,12958,110,50,0.65853053249281,
28,TRUE,0,12958,110,54,0.652593196137572,
29,TRUE,0,12958,110,64,0.676393873481521,
30,TRUE,0,12958,110,50,0.37400696247959,
31,TRUE,0,12958,110,61,0.615457852242511,
32,TRUE,0,12958,110,47,0.764826516730234,
33,TRUE,0,12958,110,55,0.648950110513114,
34,TRUE,2,12958,110,48,0.655225956413377,
35,TRUE,0,12958,110,64,0.63170155025568,
36,TRUE,0,12958,110,63,0.791203380598214,
37,TRUE,0,12958,110,55,0.504722519778771,
38,TRUE,0,12958,110,45,0.530926333872183,
39,TRUE,0,12958,110,45,0.450736198113285,
40,TRUE,0,12958,110,51,0.661284435740515,
41,TRUE,0,12958,110,56,0.715152302943851,
42,TRUE,0,12958,110,44,0.622212004158905,
43,TRUE,0,12958,110,49,0.638718855169146,
44,TRUE,0,12958,110,65,0.760203213847427,
45,TRUE,0,12958,110,52,0.673088911806155,
46,TRUE,0,12958,110,43,0.746210411817807,
47,TRUE,0,12958,110,36,0.51957281459392,
48,TRUE,0,12958,110,59,0.616041939837445,
49,TRUE,0,12958,110,52,0.729420966271802,
50,TRUE,0,12958,110,51,0.748580998546113,
51,TRUE,0,12958,110,38,0.65885343585489,
52,TRUE,0,12958,110,47,0.56628065135566,
53,TRUE,0,12958,110,49,0.589241181845839,
54,TRUE,0,12958,110,64,0.753603863330058,
55,TRUE,0,12958,110,71,0.726985128783998,
56,TRUE,0,12958,110,70,0.638679157302877,
57,TRUE,0,12958,110,49,0.685317775249145,
58,TRUE,0,12958,110,61,0.737708162908254,
59,TRUE,0,12958,110,46,0.580703363835588,
60,TRUE,0,12958,110,53,0.672198860691418,
61,TRUE,0,12958,110,64,0.711462564958257,
62,TRUE,0,12958,110,41,0.651190304479097,
63,TRUE,0,12958,110,45,0.617704931600162,
64,TRUE,0,12958,110,47,0.637972358098178,
65,TRUE,0,12958,110,44,0.638010430584725,
66,TRUE,0,12958,110,59,0.72951604526977,
67,TRUE,0,12958,110,64,0.73976631358268,
68,TRUE,0,12958,110,59,0.6064612366807,
69,TRUE,0,12958,110,59,0.664736759415947,
70,TRUE,0,12958,110,49,0.691669342127037,
71,TRUE,0,12958,110,50,0.352882880175814,
72,TRUE,0,12958,110,46,0.63106506915872,
73,TRUE,0,12958,110,53,0.595140514338067,
74,TRUE,0,12958,110,46,0.660023364158789,
75,TRUE,0,12958,110,53,0.604321392706939,
76,TRUE,0,12958,110,57,0.592184866082877,
77,TRUE,0,12958,110,48,0.662913672707173,
78,TRUE,0,12958,110,53,0.654564080094194,
79,TRUE,0,12958,110,57,0.678825638970458,
80,TRUE,0,12958,110,58,0.617112750346608,
81,TRUE,0,12958,110,54,0.70567101275537,
82,TRUE,0,12958,110,60,0.592088064714521,
