statistic,observed,replay_mean,replay_sd,replay_median,observed_percentile_in_replay
absOSA_mean,0.15669412980631742,0.13069612050523927,0.03521105420545683,0.127694806765543,0.792
absOSA_sd,0.13315463654021217,0.09907671692092412,0.02744897491704563,0.09637544068682954,0.8875
absOSA_median,0.11372573834663449,0.11135965980861123,0.037079337057459756,0.10649985581551324,0.5815
absOSA_q90,0.3546645053298441,0.2578298901423902,0.06566007374148335,0.25400016961951677,0.9245
absOSA_skew,1.3697047447688282,1.0316610574632132,0.54010287331098,0.96143159452482,0.77
absOSA_kurt,1.1278645685276318,1.1154296069710574,2.0741576607760446,0.5216581156628131,0.6315
absMASLD_mean,0.7219265640845615,0.7547353730138934,0.045868792511591414,0.7530918992030435,0.243
absMASLD_sd,0.6122808784355604,0.5108235524555533,0.09709283545202106,0.528025391871231,0.8525
absMASLD_median,0.5115965723540314,0.5836986988269594,0.060147532416808334,0.570383548692173,0.075
absMASLD_q90,1.239044496173622,1.3175782604623552,0.10329938755306704,1.3128992758103348,0.2295
absMASLD_skew,3.634567632147602,2.3441644297557485,1.10574835178658,2.547986259736405,0.8725
absMASLD_kurt,15.532367824037088,8.161364428661676,7.205759976574568,8.007924599094078,0.825
n,52.0,55.0155,9.205358714603808,55.0,0.4055
osa_frac_positive,0.5,0.4787449712853099,0.18655988737775475,0.45,0.584
r,0.550719414222321,0.6678226798850966,0.08371363637614038,0.672817056280877,0.0785
