"Gene","MASLD_log2FC","MASLD_FDR","MASLD_significant","OSA_log2FC","OSA_FDR","OSA_significant","OSA_hub_and_MASLD_DE","MASLD_hub_and_OSA_DE","AnalysisID","SameSignObserved","EligibilityEvidence"
"RPS27A",1.15031421516503,1.7914033357181e-36,TRUE,-0.207467637697279,0.537335045928279,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"IL10RA",-1.58944094285136,8.47712317583951e-29,TRUE,0.0648309740898807,0.83845541527824,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"VAMP8",1.00214811794478,2.41571210369073e-25,TRUE,0.169974235865304,0.63967771669463,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"VSIG4",-2.15129496165648,7.10210387108129e-23,TRUE,0.122475180462704,0.767311207803796,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"FABP4",4.05635541308262,3.72483616356724e-21,TRUE,0.183059340711556,0.686444849778465,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"RPL26",1.08327865742714,6.01352982619852e-21,TRUE,0.225113254748816,0.688697042209002,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"NDUFB6",0.570383548692173,1.1521449437665e-19,TRUE,0.118408967253768,0.758935024594485,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"NPR1",-1.27951350237589,1.7588044009714e-19,TRUE,-0.161298245771171,0.66653393332064,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"PFDN5",0.862444396661473,7.58665771818982e-18,TRUE,-0.0907682779995444,0.83629213566226,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"KRT18",1.32075020984737,8.46346080215386e-17,TRUE,-0.161706420971746,0.79600175812803,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"ATP6V0B",0.928789662087572,9.75768819820383e-17,TRUE,-0.0512590841500864,0.849532474893091,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"DOCK2",-1.41111393053294,2.58877164424565e-16,TRUE,0.207606072742367,0.547145939930498,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"ROBO4",-0.9763460480756,3.16343436638013e-15,TRUE,0.0384035360810438,0.921162104587927,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"ATN1",-0.785943549431116,2.00519365510048e-14,TRUE,-0.0922374057999245,0.742434554645662,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"PPP1R13B",-0.559872843183687,2.91178639384598e-14,TRUE,-0.0143424397409942,0.968304444906546,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"FCER1G",-1.46555883375859,5.09302922654615e-13,TRUE,0.134137475339891,0.786024399319673,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"RIPOR1",-0.713431136449634,5.14962654278389e-13,TRUE,-0.130587547790786,0.644695827436059,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"NDUFA1",0.779869483802689,9.86974514208237e-13,TRUE,-0.197909259050608,0.704927004208832,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"CD4",-1.22913278531991,2.48852602657867e-12,TRUE,0.120015579328807,0.703312366047608,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"COL1A2",1.39444127997758,2.73026832399065e-12,TRUE,0.111197671914145,0.8678812399035,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"HECTD1",-0.78421560892487,5.63899200598033e-12,TRUE,0.142205274434656,0.634321036998918,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"COMMD6",0.645494298975665,3.11440222141857e-11,TRUE,0.0811028386365942,0.838194614060224,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"ATP5ME",0.881651975137626,5.3653567767946e-11,TRUE,-0.301623991056101,0.3763814939544,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"BAG1",0.553347188980317,8.89308929408498e-11,TRUE,-0.0606533350692121,0.814838605866839,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"TSC2",-0.593711563176076,2.26260636000325e-10,TRUE,-0.0673981326719157,0.830986196361535,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"ITPKB",-0.774647503683922,3.97839517729833e-10,TRUE,0.051989327444782,0.884026009182967,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"NCKAP1L",-1.11584518295455,1.09604121042127e-09,TRUE,0.189765625702388,0.592560089107747,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"PIEZO1",-0.873621785052781,1.80179725300417e-09,TRUE,-0.121599258741321,0.753392817672635,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"ADA2",-1.15554367314083,1.999941888253e-09,TRUE,0.013346573221645,0.973614835779651,FALSE,TRUE,FALSE,"topology_primary",FALSE,"OSA_hub_x_MASLD_DE"
"EGR1",-2.53703917701469,2.81094697457817e-09,TRUE,-0.0135304636382051,0.989331927008074,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"MPLKIP",0.548119892809319,4.07168491778235e-09,TRUE,0.551250716919917,0.500067456193741,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"SNRPE",0.453280721573703,4.77265362909092e-09,TRUE,0.200801576201475,0.633699243291964,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
"COPRS",0.832838927631459,8.23014425076147e-09,TRUE,0.0717023985091069,0.820407763409307,FALSE,TRUE,FALSE,"topology_primary",TRUE,"OSA_hub_x_MASLD_DE"
