"endpoint","masld_effect","masld_fdr","osa_effect","osa_fdr","masld_same_sign_n","osa_same_sign_n","orthogonal_support","max_weight_masld","max_weight_osa","leave_one_out_masld","leave_one_out_osa","gate_pass","failed_conditions"
"HALLMARK_HYPOXIA",0.0709662312269363,0.617853194807433,0.0120840734606607,0.974144843493894,1,2,"",0.548480699158317,0.344835970923143,FALSE,FALSE,FALSE,"masld_fdr;osa_fdr;masld_sign_count;orthogonal_support;leave_one_out"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.205382479486618,0.00808108294210043,0.1033955023675,0.675385737936493,2,2,"",0.8293393498689,0.41108071505557,TRUE,TRUE,FALSE,"osa_fdr;orthogonal_support;weight"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.153823340276847,0.562187300144484,-0.167343009805069,0.675385737936493,2,2,"",0.575819779034012,0.454826070387495,TRUE,FALSE,FALSE,"masld_fdr;osa_fdr;shared_direction;orthogonal_support;leave_one_out"
"HALLMARK_INFLAMMATORY_RESPONSE",-0.0409331333012565,0.92880729416142,-0.0979559282293794,0.663183888569082,1,2,"",0.507103555886728,0.476054546780346,FALSE,TRUE,FALSE,"masld_fdr;osa_fdr;masld_sign_count;orthogonal_support;leave_one_out"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.176874838513318,0.617853194807433,0.130008091692861,0.675385737936493,1,2,"",0.536691733221514,0.376247045378942,FALSE,TRUE,FALSE,"masld_fdr;osa_fdr;masld_sign_count;orthogonal_support;leave_one_out"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.0316022912707797,0.92880729416142,0.00268750768060532,0.974144843493894,1,2,"",0.516764904046825,0.372599076326081,FALSE,FALSE,FALSE,"masld_fdr;osa_fdr;shared_direction;masld_sign_count;orthogonal_support;leave_one_out"
"HALLMARK_GLYCOLYSIS",0.0650656434662525,0.570728135182667,0.0752474710076395,0.675385737936493,2,3,"",0.570912267224684,0.439135654382099,TRUE,TRUE,FALSE,"masld_fdr;osa_fdr;orthogonal_support"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.354059392220572,0.000384809177809466,0.107259787901436,0.675385737936493,2,3,"",0.862002987762197,0.338740811868447,TRUE,TRUE,FALSE,"osa_fdr;orthogonal_support;weight"
"HALLMARK_FATTY_ACID_METABOLISM",0.104420424065447,0.208747469275706,0.0699569785253965,0.675385737936493,2,3,"",0.836804717377063,0.351886041897805,TRUE,TRUE,FALSE,"masld_fdr;osa_fdr;orthogonal_support;weight"
"HALLMARK_ADIPOGENESIS",0.0994610955634777,0.0702401322473823,0.0807961431554719,0.675385737936493,2,2,"",0.864767247681639,0.454929202680177,TRUE,TRUE,FALSE,"masld_fdr;osa_fdr;orthogonal_support;weight"
"HALLMARK_MTORC1_SIGNALING",0.256581977467479,0.000378203812565904,0.236262256215389,0.330617571520861,2,3,"",0.808420390282814,0.389111372191549,TRUE,TRUE,FALSE,"osa_fdr;orthogonal_support;weight"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.213116702191063,0.000384809177809466,0.246255191289655,0.330617571520861,2,3,"",0.80305290757404,0.342110934988622,TRUE,TRUE,FALSE,"osa_fdr;orthogonal_support;weight"
