"n_group","rho","confounding","method","replicates","inner_permutations","type_I_error","wilson_lower","wilson_upper","mcse","covers_nominal_0.05","mean_permutations_run","early_stop_fraction","mean_selected_n"
16,0.3,"adjusted","block_preserving_rule_replay",1000,999,0.041,0.0303649710820983,0.0551479932076413,0.00627048642451285,TRUE,196.124,0.959,7.521
16,0.3,"misspecified","block_preserving_rule_replay",1000,999,0.042,0.0312208855461654,0.0562844252266031,0.00634318531969546,TRUE,201.705,0.958,9.567
16,0.3,"none","block_preserving_rule_replay",1000,999,0.052,0.0398730362837774,0.06755573931928,0.00702111102319284,TRUE,199.442,0.948,7.475
16,0.3,"adjusted","gene_label_complete_rule_replay",1000,999,0.05,0.0381302623927488,0.0653138202442508,0.00689202437604511,TRUE,196.362,0.95,7.521
16,0.3,"misspecified","gene_label_complete_rule_replay",1000,999,0.05,0.0381302623927488,0.0653138202442508,0.00689202437604511,TRUE,224.992,0.95,9.567
16,0.3,"none","gene_label_complete_rule_replay",1000,999,0.057,0.0442534403587159,0.0731370676594859,0.00733150734842433,TRUE,202.326,0.943,7.475
16,0.3,"adjusted","naive_fixed_set_gene_label",1000,999,0.83,0.805465935038086,0.852008404361448,0.0118785521003193,FALSE,874.262,0.17,7.521
16,0.3,"misspecified","naive_fixed_set_gene_label",1000,999,0.963,0.949417602517931,0.973038819124445,0.00596917079668525,FALSE,975.373,0.036,9.567
16,0.3,"none","naive_fixed_set_gene_label",1000,999,0.842,0.818090154108586,0.863292343087294,0.0115341232870123,FALSE,879.924,0.158,7.475
16,0.3,"adjusted","phenotype_complete_pipeline_MC",1000,999,0.055,0.0424974273747684,0.0709083876773756,0.00720936890441875,TRUE,205.325,0.945,7.521
16,0.3,"misspecified","phenotype_complete_pipeline_MC",1000,999,0.043,0.0320786534117134,0.057419003844084,0.00641490451994416,TRUE,205.591,0.957,9.567
16,0.3,"none","phenotype_complete_pipeline_MC",1000,999,0.047,0.0355271051063845,0.0619399380815285,0.00669260786241059,TRUE,200.712,0.953,7.475
