"n_group","rho","confounding","selection_fraction","replicates","reference_replicates","method","rejection_rate","wilson_lower","wilson_upper","mcse","covers_nominal_0.05","mean_selected_n","median_statistic"
8,0.1,"none",0.1,500,499,"naive_fixed_set_gene_label",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.572,0
8,0.1,"none",0.1,500,499,"gene_label_complete_rule_replay",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.572,0
8,0.1,"none",0.1,500,499,"block_preserving_rule_replay",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.572,0
8,0.1,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.572,0
8,0.1,"none",0.25,500,499,"naive_fixed_set_gene_label",0.468,0.424674065921979,0.51181389186756,0.0223148381127894,FALSE,3.644,0
8,0.1,"none",0.25,500,499,"gene_label_complete_rule_replay",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,3.644,0
8,0.1,"none",0.25,500,499,"block_preserving_rule_replay",0.052,0.0357302651157053,0.0751011439378455,0.00992935043192655,TRUE,3.644,0
8,0.1,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.094,0.0714264085922213,0.122764555862559,0.0130509769749241,FALSE,3.644,0
8,0.1,"none",0.5,500,499,"naive_fixed_set_gene_label",0.996,0.985534284784823,0.998902369477317,0.00282276460230038,FALSE,14.916,0.880069099727486
8,0.1,"none",0.5,500,499,"gene_label_complete_rule_replay",0.07,0.0507597429450181,0.0957971898519169,0.0114105214604767,FALSE,14.916,0.880069099727486
8,0.1,"none",0.5,500,499,"block_preserving_rule_replay",0.054,0.0373743501810575,0.0774265615106471,0.0101078187557949,TRUE,14.916,0.880069099727486
8,0.1,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.048,0.0324652069413532,0.0704271968358901,0.00955991631762538,TRUE,14.916,0.880069099727486
8,0.1,"none",0.75,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,34.05,0.779715593409646
