"Iteration","Converged","SameSignSelectedGenes","PearsonR","SpearmanR","StdR"
1,TRUE,49,0.710868261029546,0.584183673469388,0.754630267165243
2,TRUE,58,0.725373636757302,0.743517179857886,0.739836098828845
3,TRUE,62,0.612338384439935,0.32401601571353,0.610403285449144
4,TRUE,43,0.749541998709608,0.688764723648445,0.754953625352415
5,TRUE,52,0.556009769514647,0.698625458891829,0.7518340990792
6,TRUE,49,0.413390943660799,0.369795918367347,0.600258157712942
7,TRUE,54,0.644748683434097,0.719687440442157,0.715321742451362
8,TRUE,47,0.745017989885756,0.732076780758557,0.759518829849661
9,TRUE,36,0.733445117459334,0.484427284427284,0.680646356030518
10,TRUE,54,0.545248785708707,0.721745759481608,0.650531702638014
11,TRUE,63,0.720290526290547,0.755712365591398,0.746433742490017
12,TRUE,79,0.65727582726444,0.684323271665044,0.773179779815443
13,TRUE,48,0.678717592267558,0.633087277464177,0.658487003726955
14,TRUE,70,0.678264284280379,0.640731344589275,0.72311350640924
15,TRUE,54,0.6366042164897,0.610291595197256,0.781805971822618
16,TRUE,58,0.624500292187834,0.767633578393676,0.663584969270809
17,TRUE,43,0.7774941366645,0.756418000604047,0.850150619875738
18,TRUE,39,0.731964584596552,0.675303643724696,0.677776777573941
19,TRUE,63,0.676404915111255,0.655865975422427,0.803658259540401
20,TRUE,54,0.561330364077515,0.657175528873642,0.689513605547414
21,TRUE,64,0.783357058648658,0.746565934065934,0.817840730140443
22,TRUE,49,0.637980822766153,0.677551020408163,0.669923904622504
23,TRUE,69,0.629052188641604,0.71457800511509,0.708376282377495
24,TRUE,58,0.683633766335752,0.783444584576579,0.83950598023137
25,TRUE,45,0.624326584027792,0.44163372859025,0.707860305901404
26,TRUE,70,0.702949611061783,0.729962382993614,0.809067536945534
27,TRUE,56,0.596074695480194,0.788448393711552,0.722052740149158
28,TRUE,59,0.655399327734494,0.544710695499708,0.614577858014614
29,TRUE,64,0.647205196306579,0.586538461538462,0.8463364034461
30,TRUE,48,0.784176040301105,0.75293095961789,0.712807514231203
31,TRUE,56,0.761814105216399,0.672248803827751,0.745243689683192
32,TRUE,36,0.654694338719157,0.499099099099099,0.609866634012055
33,TRUE,64,0.420996403027938,0.570695970695971,0.490706348115865
34,TRUE,73,0.632655265800797,0.648463532025176,0.741821082697565
35,TRUE,44,0.734838271296908,0.739816772374912,0.707224602754952
36,TRUE,67,0.653965608560814,0.585601404741001,0.705603287536541
37,TRUE,49,0.72114740699044,0.498469387755102,0.545029714018407
38,TRUE,51,0.687410908453086,0.69972850678733,0.74926772169489
39,TRUE,48,0.617575904667458,0.667716022579244,0.599108314582728
40,TRUE,55,0.715308595914881,0.671572871572872,0.674344035712527
41,TRUE,59,0.629880667570536,0.6177089421391,0.773403150444439
42,TRUE,51,0.590149573571193,0.805067873303167,0.64794294869139
43,TRUE,63,0.58787434681007,0.546995007680491,0.728672768683097
44,TRUE,59,0.754367119824996,0.747282291057861,0.846386760075492
45,TRUE,49,0.768015721949078,0.745612244897959,0.752099631974041
