effect_size_sd,fraction,injected_genes,median_observed_r,reference_mean,reference_sd,median_p,rejection_rate,mc_se,reference_draws,source
0.2,0.05,345,0.4805,0.638,0.0649,0.9802,0.0,0.0,3000,full
0.2,0.1,690,0.4937,0.6386,0.0643,0.9703,0.0,0.0,3000,full
0.2,0.25,1726,0.531,0.6403,0.0625,0.9208,0.0,0.0,3000,full
0.2,0.5,3451,0.5779,0.643,0.0607,0.8564,0.0,0.0,3000,full
0.4,0.05,345,0.4988,0.6401,0.0631,0.9703,0.0,0.0,3000,full
0.4,0.1,690,0.5263,0.6416,0.0617,0.9406,0.0,0.0,3000,full
0.4,0.25,1726,0.5885,0.6456,0.0589,0.8267,0.0,0.0,3000,full
0.4,0.5,3451,0.6543,0.6508,0.0579,0.5446,0.0,0.0,3000,full
0.6,0.05,345,0.5146,0.6399,0.063,0.9554,0.0,0.0,3000,full
0.6,0.1,690,0.5509,0.6424,0.0606,0.9109,0.0,0.0,3000,full
0.6,0.25,1726,0.6266,0.6485,0.0572,0.6931,0.0,0.0,3000,full
0.6,0.5,3451,0.7001,0.656,0.0585,0.2327,0.0,0.0,3000,full
1.0,0.05,345,0.5334,0.6439,0.0578,0.9505,0.0,0.0,3000,full
1.0,0.1,690,0.5813,0.6479,0.0546,0.8812,0.0,0.0,3000,full
1.0,0.25,1726,0.663,0.6574,0.0528,0.5149,0.0,0.0,3000,full
1.0,0.5,3451,0.743,0.6687,0.0603,0.1287,0.0,0.0,3000,full
